cleaned,vector
milieu bel place situer coeur pari restaurant medium  cadre sublime agréable paisible saison,"[0.4562707543373108, -0.026242490857839584, 0.07486078888177872, 0.23713089525699615, 0.14444805681705475, -0.5660231709480286, 0.07988736778497696, -0.03386736661195755, -0.44744306802749634, 0.17861230671405792, 0.28062891960144043, -0.09383457899093628, -0.33636119961738586, -0.10258405655622482, 0.036384474486112595, 0.39797481894493103, -0.06551574170589447, 0.02410435490310192, -0.10451392829418182, 0.49679481983184814, 0.28726857900619507, 0.428913950920105, 0.34617310762405396, -0.4194486737251282, -0.21411524713039398, 0.3100079298019409, -0.0627354234457016, 0.00299466704018414, -0.023707691580057144, -0.17336881160736084, 0.0010638918029144406, 0.24695712327957153, -0.025230253115296364, -0.11755558848381042, 0.023089714348316193, -0.04478834941983223, 0.09955330193042755, -0.0020652925595641136, -0.009136167354881763, -0.03169555589556694, -0.2178398221731186, 0.012699066661298275, -0.18229447305202484, -0.09655238687992096, 0.16791293025016785, -0.17435064911842346, 0.06705697625875473, -0.16003070771694183, -0.13688243925571442, 0.2672721743583679, 0.20086781680583954, 0.14562812447547913, 0.28694257140159607, 0.22262239456176758, 0.16614294052124023, 0.12633560597896576, 0.2166263610124588, -0.03944123163819313, -0.2168578803539276, 0.21109622716903687, -0.09265018254518509, -0.045385926961898804, 0.0875292420387268, 0.011186761781573296]"
michel del burgo galère cuisine bon casserole homard service prix élevé,"[0.5742263793945312, -0.02923613041639328, 0.10097034275531769, 0.2761128842830658, 0.1983092576265335, -0.6643334627151489, 0.08438130468130112, -0.06384145468473434, -0.5706755518913269, 0.20832286775112152, 0.3135024309158325, -0.1236712783575058, -0.415747731924057, -0.14314723014831543, 0.04667729511857033, 0.47822555899620056, -0.090397410094738, 0.03972851112484932, -0.13202504813671112, 0.6099451780319214, 0.34068959951400757, 0.5224431157112122, 0.4519631564617157, -0.518156886100769, -0.25002825260162354, 0.37442895770072937, -0.07945342361927032, 0.03006596863269806, -0.055124007165431976, -0.20236879587173462, 0.01889174059033394, 0.31594792008399963, -0.028173843398690224, -0.1368682086467743, 0.017721842974424362, -0.06258285045623779, 0.10379298776388168, -0.0037458636797964573, -0.01122459676116705, -0.02280917577445507, -0.26564449071884155, 0.06019190326333046, -0.20920756459236145, -0.12415525317192078, 0.18981003761291504, -0.2113865315914154, 0.07419119030237198, -0.17643071711063385, -0.18623249232769012, 0.3367008864879608, 0.25013527274131775, 0.17632225155830383, 0.34299078583717346, 0.2910442352294922, 0.19022567570209503, 0.1598089188337326, 0.24367274343967438, -0.0659075602889061, -0.2600475549697876, 0.2517409920692444, -0.09765008091926575, -0.053801652044057846, 0.10799989849328995, 0.024742186069488525]"
accompagner collègue chercher bon restaurer  heure conseil manger,"[0.2695161700248718, -0.018731869757175446, 0.051190514117479324, 0.13612733781337738, 0.09368794411420822, -0.3050299882888794, 0.0505472794175148, -0.027339454740285873, -0.2626522481441498, 0.09969265013933182, 0.12834830582141876, -0.07059125602245331, -0.1824011355638504, -0.06574929505586624, 0.029681088402867317, 0.22153405845165253, -0.04678938910365105, 0.021911347284913063, -0.055487584322690964, 0.29073238372802734, 0.17231731116771698, 0.2500280737876892, 0.20195408165454865, -0.23708012700080872, -0.11664008349180222, 0.17036135494709015, -0.035853855311870575, -0.0064299143850803375, -0.016852902248501778, -0.07799381762742996, -0.009275327436625957, 0.1541910469532013, -0.00028359456337057054, -0.06087510287761688, 0.01263568177819252, -0.02484353631734848, 0.052182555198669434, -0.006326285190880299, -0.010583785362541676, -0.016717946156859398, -0.11440933495759964, 0.033442698419094086, -0.09985390305519104, -0.05290219187736511, 0.08768372982740402, -0.08712952584028244, 0.037239041179418564, -0.08597778528928757, -0.08608276396989822, 0.15133415162563324, 0.11041507869958878, 0.08418287336826324, 0.15602317452430725, 0.13379882276058197, 0.08613422513008118, 0.07408878207206726, 0.12177868187427521, -0.026586879044771194, -0.12141983211040497, 0.11747414618730545, -0.04047953337430954, -0.02686113864183426, 0.054023753851652145, 0.015547565184533596]"
éviter prix trop élevé qualité proposée.l croque Monsieur tartine gruyère jambon frite surgelée bien,"[0.4712478518486023, -0.019444052129983902, 0.07893889397382736, 0.21705466508865356, 0.14411692321300507, -0.5331946015357971, 0.061507727950811386, -0.04846177622675896, -0.45754167437553406, 0.1565740406513214, 0.2597194015979767, -0.10427804291248322, -0.3196824789047241, -0.12893046438694, 0.04465722292661667, 0.3671056032180786, -0.07179475575685501, 0.029396945610642433, -0.10858376324176788, 0.48751792311668396, 0.25018632411956787, 0.41064515709877014, 0.3702085018157959, -0.3845721483230591, -0.19265216588974, 0.3036923408508301, -0.06112168729305267, 0.011596652679145336, -0.04309535026550293, -0.16651031374931335, 0.01719108782708645, 0.26144641637802124, -0.03301878273487091, -0.11278701573610306, 0.021120574325323105, -0.05171329155564308, 0.10035955160856247, 0.011958841234445572, -0.00929897092282772, -0.004839555360376835, -0.19674541056156158, 0.02220703288912773, -0.16657155752182007, -0.09629622101783752, 0.135014608502388, -0.16434505581855774, 0.07411813735961914, -0.14629186689853668, -0.13941603899002075, 0.2958992123603821, 0.18923544883728027, 0.1405845284461975, 0.2537740468978882, 0.23061919212341309, 0.14285710453987122, 0.1292722374200821, 0.18030352890491486, -0.0566667765378952, -0.2083410620689392, 0.18368679285049438, -0.07118060439825058, -0.07253514975309372, 0.08079652488231659, 0.02183152176439762]"
grand déception restaurant bon réputation être personne prendre formule entrer plus plat plat plus,"[0.13320931792259216, -0.013730996288359165, 0.024420160800218582, 0.07914791256189346, 0.021604811772704124, -0.16088762879371643, 0.040522340685129166, -0.018353333696722984, -0.12706813216209412, 0.04172045364975929, 0.08830296993255615, -0.03968813270330429, -0.07821552455425262, -0.008256630040705204, 0.009580711834132671, 0.1252226084470749, -0.02071695402264595, 0.003727161791175604, -0.0236099474132061, 0.1494496911764145, 0.08718718588352203, 0.1251145750284195, 0.099514901638031, -0.12326746433973312, -0.052866943180561066, 0.09866046905517578, -0.011758841574192047, -0.0032492286991328, -0.010296477004885674, -0.03949778899550438, -0.00911789108067751, 0.03824532777070999, -0.026543278247117996, -0.05278928205370903, -0.01150896679610014, -0.019643884152173996, 0.011666995473206043, 0.006189184263348579, 0.017979102209210396, -0.021369433030486107, -0.06807857006788254, 0.027967557311058044, -0.052934374660253525, -0.025845056399703026, 0.038229119032621384, -0.04566425457596779, 0.012742447666823864, -0.03264312818646431, -0.03232421353459358, 0.06818578392267227, 0.03662799671292305, 0.0502801276743412, 0.0960959792137146, 0.03738662227988243, 0.04599488154053688, 0.038522474467754364, 0.06673910468816757, -0.007685881108045578, -0.06698165833950043, 0.029857918620109558, -0.010144118219614029, -0.002673801966011524, 0.0013213007478043437, -0.004359000362455845]"
vin bon prix déconner probablement bon bar vin  contre restauration vraiment terrible payer,"[0.3478298783302307, -0.01577266864478588, 0.07058106362819672, 0.19144991040229797, 0.1344071328639984, -0.3941592276096344, 0.06636009365320206, -0.05577649548649788, -0.3514692187309265, 0.12269794195890427, 0.19322417676448822, -0.0934615209698677, -0.2474440336227417, -0.07945294678211212, 0.0310352873057127, 0.2942754924297333, -0.0672503188252449, 0.02568739652633667, -0.09427590668201447, 0.383160263299942, 0.2134092003107071, 0.34439170360565186, 0.28744712471961975, -0.31620046496391296, -0.15092957019805908, 0.2225857526063919, -0.04855206608772278, 0.0042149098590016365, -0.03102150745689869, -0.11092141270637512, -0.01842639036476612, 0.20308822393417358, -0.017686836421489716, -0.09246287494897842, -0.002766484161838889, -0.05061982199549675, 0.06609554588794708, 0.006467729341238737, -0.013607212342321873, -0.02562623657286167, -0.1460113227367401, 0.049471501260995865, -0.13901764154434204, -0.09475122392177582, 0.1315893530845642, -0.11878516525030136, 0.03536920249462128, -0.11565596610307693, -0.12451872229576111, 0.23617872595787048, 0.16446487605571747, 0.11621453613042831, 0.2030724585056305, 0.17127767205238342, 0.12218866497278214, 0.08903104066848755, 0.16969850659370422, -0.04578342288732529, -0.1576857566833496, 0.16586506366729736, -0.07127454876899719, -0.03714727237820625, 0.05746889486908913, 0.03598817437887192]"
gros mouai  attirer bon commentaire tester décevoir  cadre sympa  plat correct,"[0.06771347671747208, -0.010975932702422142, 0.020074792206287384, 0.060275424271821976, 0.0033066561445593834, -0.08160583674907684, 0.017801115289330482, -0.014862856827676296, -0.07643125206232071, 0.02689475379884243, 0.02616824395954609, -0.008387085050344467, -0.03451097011566162, 0.0012069909134879708, -0.01837914064526558, 0.06409921497106552, -0.0025945359375327826, 0.018936175853013992, -0.02145080827176571, 0.05436941981315613, 0.01677367463707924, 0.04406562075018883, 0.04067734256386757, -0.05807966738939285, -0.019818875938653946, 0.044498734176158905, -0.00996609590947628, -0.020380493253469467, -0.0034401691518723965, -0.009583204053342342, -0.006537588778883219, 0.03311584144830704, -0.020911172032356262, -0.007561180740594864, 0.004307047929614782, -0.003053967608138919, 0.023975420743227005, -0.0017339454498142004, 0.010717689990997314, -0.016202030703425407, -0.03534854203462601, 0.029116060584783554, -0.02924165688455105, -0.0029184205923229456, 0.040503669530153275, -0.009793353267014027, 0.016529381275177002, -0.013391486369073391, -0.011412253603339195, 0.035225387662649155, 0.02244911901652813, 0.028285928070545197, 0.04126906767487526, 0.02042074128985405, 0.030736539512872696, 0.018656020984053612, 0.01764034666121006, 0.0020434705074876547, -0.023071303963661194, 0.013856728561222553, -0.024595515802502632, -0.0031316548120230436, 0.007847809232771397, 0.004439498297870159]"
étoile magnifique cadre petit table marbre dorure emmener début  siècle haha   venir,"[0.5471515655517578, -0.03624981269240379, 0.10990297049283981, 0.25352221727371216, 0.19975163042545319, -0.656472384929657, 0.08779624849557877, -0.07424923777580261, -0.5365622639656067, 0.1855318397283554, 0.30056309700012207, -0.12139050662517548, -0.38201144337654114, -0.13165347278118134, 0.04968637228012085, 0.4549165964126587, -0.08308880031108856, 0.053613387048244476, -0.12917158007621765, 0.6038818955421448, 0.3519008159637451, 0.49708953499794006, 0.42677006125450134, -0.4807625114917755, -0.24674874544143677, 0.35482290387153625, -0.075606569647789, 0.025561604648828506, -0.04382617026567459, -0.2003871202468872, -0.004028125666081905, 0.28504520654678345, -0.014419380575418472, -0.13719919323921204, 0.006578302476555109, -0.05776387080550194, 0.11752842366695404, -0.009022528305649757, -0.017344653606414795, -0.04937891289591789, -0.25462305545806885, 0.0603560172021389, -0.20002712309360504, -0.1055939570069313, 0.18334339559078217, -0.20082330703735352, 0.05378924682736397, -0.174448624253273, -0.15485356748104095, 0.34503453969955444, 0.2311965674161911, 0.17126521468162537, 0.3441181778907776, 0.25340166687965393, 0.17011170089244843, 0.155446395277977, 0.23594821989536285, -0.06311354786157608, -0.25686779618263245, 0.25574004650115967, -0.08935660868883133, -0.055167727172374725, 0.10030874609947205, 0.01940370723605156]"
hâter essayer lire commentaire parisien malheureusement plat hauteur prix,"[0.2795972228050232, -0.012006280943751335, 0.03826114535331726, 0.14564968645572662, 0.07552942633628845, -0.3085075318813324, 0.052444033324718475, -0.03708381578326225, -0.2760971188545227, 0.11933048814535141, 0.1449960619211197, -0.06415580958127975, -0.20004184544086456, -0.08553898334503174, 0.01471148431301117, 0.22286520898342133, -0.044073041528463364, 0.02106417715549469, -0.0683293491601944, 0.30024197697639465, 0.16803784668445587, 0.25807318091392517, 0.22855013608932495, -0.24710993468761444, -0.12485755980014801, 0.17409180104732513, -0.03830976039171219, 0.009505441412329674, -0.030049674212932587, -0.09677094221115112, 0.014074863865971565, 0.133260577917099, -0.019247524440288544, -0.06560061126947403, -0.0070674363523721695, -0.02514686807990074, 0.05063408985733986, -0.0030880821868777275, -0.009399468079209328, -0.00016896352462936193, -0.1174575686454773, 0.032176870852708817, -0.1043134331703186, -0.055751122534275055, 0.07517383247613907, -0.09978281706571579, 0.045658450573682785, -0.09580575674772263, -0.08760099112987518, 0.16295866668224335, 0.11011878401041031, 0.08244175463914871, 0.17913024127483368, 0.1423363983631134, 0.08508313447237015, 0.08110056072473526, 0.12768879532814026, -0.03994332253932953, -0.1425783336162567, 0.1143551915884018, -0.03773057088255882, -0.04095442593097687, 0.053515803068876266, 0.023294635117053986]"
arriver h patisserie  attent min   bien  place libre interieur  fois asseoir  min attent apporte,"[0.5250458717346191, -0.042793016880750656, 0.10159137845039368, 0.27881669998168945, 0.19439367949962616, -0.6373942494392395, 0.11907359957695007, -0.05148772522807121, -0.5301735401153564, 0.20335499942302704, 0.29486095905303955, -0.13071851432323456, -0.3789159953594208, -0.11387328058481216, 0.06288491934537888, 0.42876654863357544, -0.07318280637264252, 0.037558283656835556, -0.11643712222576141, 0.5579400658607483, 0.3205553889274597, 0.48587295413017273, 0.405585378408432, -0.45012521743774414, -0.26570653915405273, 0.33481699228286743, -0.056309640407562256, 0.010631512850522995, -0.03625734895467758, -0.1799033284187317, -0.013814250938594341, 0.2523696720600128, -0.017934242263436317, -0.12586821615695953, 0.0107724629342556, -0.06334805488586426, 0.09334175288677216, 0.0010847218800336123, -0.013163775205612183, -0.041687000542879105, -0.21614868938922882, 0.05170249193906784, -0.18131102621555328, -0.10820925980806351, 0.1939132660627365, -0.2062731385231018, 0.0658353865146637, -0.18119342625141144, -0.14336387813091278, 0.30208274722099304, 0.22094812989234924, 0.17481443285942078, 0.3165459632873535, 0.2269267588853836, 0.18489684164524078, 0.15122780203819275, 0.22962608933448792, -0.06382443755865097, -0.22862380743026733, 0.21348923444747925, -0.06199119612574577, -0.05044399946928024, 0.11705378443002701, 0.014884011819958687]"
